,Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit
339,"$103,134 /yr (est.)",103134.0,Tosca QA Automation Engineer,-1,-1,-1,Pacific Consulting,"Durham, NC",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
342,"$132,186 /yr (est.)",132186.0,Sr Software QA Contractor,-1,-1,-1,"PlayStation Global
4.0","Aliso Viejo, CA",4.0,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.5,3.8,4.0,3.5,3.8,yr
345,$55.00 /hr (est.),114400.0,UAT Tester,-1,-1,-1,"Cloud and Things Inc
4.6",Remote,4.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,4.0,4.8,4.8,4.5,hr
358,$63.50 /hr (est.),132080.0,QA Test Manager,-1,-1,-1,Gerbera technologies INC,"Dallas, TX",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
368,"$84,759 /yr (est.)",84759.0,QA Analyst,-1,-1,-1,"InfoQuest Consulting Group Inc.
4.5","Cambridge, MA",4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.1,4.5,4.3,3.1,yr
370,$20.00 /hr (est.),41600.0,QA Tester,2,2,-1,Wayne Reaves Computer Systems INC,"Macon, GA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
381,$64.00 /hr (est.),133120.0,Locals Only : SDET/QA Automation Engineer : Missouri,-1,-1,-1,"FiSec Global Inc
3.5","Aurora, MO",3.5,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.8,3.5,3.3,3.5,hr
383,"$87,500 /yr (est.)",87500.0,Test Engineer,-1,-1,-1,"Valley Services Electronics (VSE)
5.0","San Jose, CA",5.0,0,42,51 to 200 Employees,1981,Company - Private,Electronics Manufacturing,Manufacturing,$25 to $100 million (USD),-1.0,-1.0,-1.0,-1.0,-1.0,yr
388,"$47,795 /yr (est.)",47795.0,QA Automated Tester,-1,-1,-1,"INVID
4.8","San Juan, PR",4.8,0,20,1 to 50 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.4,4.7,4.2,4.6,yr
393,$35.00 /hr (est.),72800.0,Business Analyst/Quality Assurance,-1,-1,-1,Nexo Advisors,"Phoenix, AZ",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
394,$52.50 /hr (est.),109200.0,QA Manual Tester,-1,-1,-1,ExpressTech,"Las Vegas, NV",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
395,$27.00 /hr (est.),56160.0,Software QA Analyst,0,1,-1,"Bernard Health
2.6","Nashville, TN",2.6,0,17,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,2.5,2.5,2.7,2.5,2.6,hr
397,"$87,000 /yr (est.)",87000.0,QUALITY ASSURANCE ANALYST,-1,-1,-1,"Continental General
5.0","Austin, TX",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr
398,"$65,000 /yr (est.)",65000.0,QA Engineer,-1,-1,-1,Invictech Inc,Remote,-1.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
403,$62.50 /hr (est.),130000.0,ATE Test Engineer,-1,-1,-1,"Tessolve
4.1","San Diego, CA",4.1,0,19,1001 to 5000 Employees,2004,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$500 million to $1 billion (USD),4.2,3.7,4.1,3.9,3.8,hr
407,$27.39 /hr (est.),56971.2,UAT Tester,-1,-1,-1,Sthavirsoft Inc,"Nashville, TN",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,hr
412,"$60,356 /yr (est.)",60356.0,QA TESTER,-1,-1,-1,Buildable,"McMinnville, OR",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
420,"$75,000 /yr (est.)",75000.0,QA Engineer,-1,-1,-1,"Josh.ai
4.3","Denver, CO",4.3,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.3,4.2,4.2,3.8,yr
421,"$135,000 /yr (est.)",135000.0,Quality Assurance Manager,-1,-1,-1,"Penn Life Sciences
2.5","Langhorne, PA",2.5,0,-1,-1,-1,-1,-1,-1,-1,2.1,2.0,2.4,2.4,2.4,yr
422,"$75,000 /yr (est.)",75000.0,QA Automation Engineer,-1,-1,-1,"CuraPatient Inc.
1.0","Irvine, CA",1.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,yr
425,"$94,734 /yr (est.)",94734.0,QA Engineer,-1,-1,-1,2Dream,"Pleasanton, CA",-1.0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,yr
426,"$87,250 /yr (est.)",87250.0,ETL Test Analyst,-1,-1,-1,"AppTad
4.4","Westlake, TX",4.4,0,10,201 to 500 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.4,4.1,4.2,4.4,4.2,yr
431,"$55,000 /yr (est.)",55000.0,QA Automation Engineer,-1,-1,-1,"Rational Enterprise
3.3","Albany, NY",3.3,0,17,51 to 200 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.2,3.2,3.0,2.9,3.6,yr
